street,city,neighborhood,address_area,address_neighborhood
ירושלים,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
עמק יזרעאל,בני ברק,נחלת שמעון,בני ברק - גבעת שמואל,נחלת שמעון
הרב קובלסקי,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
הרב מצליח,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
החלוצים,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
ניסנבוים,בני ברק,"הפועל המזרחי א', שיכון א'",בני ברק - גבעת שמואל,"הפועל המזרחי א', שיכון א'"
אלישע,בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
מנחם בגין,בני ברק,תל גיבורים,בני ברק - גבעת שמואל,תל גיבורים
הרב יעבץ,בני ברק,"הפועל המזרחי ה', שיכון ה'",בני ברק - גבעת שמואל,"הפועל המזרחי ה', שיכון ה'"
עמוס,בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
טבריה,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
הרב ברוט,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
מרדכי אנילביץ',בני ברק,"הפועל המזרחי א', שיכון א'",בני ברק - גבעת שמואל,"הפועל המזרחי א', שיכון א'"
מלאכי,בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
אשל אברהם,בני ברק,רמת אלחנן,בני ברק - גבעת שמואל,רמת אלחנן
"הרב חרל""פ",בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
תורת חיים,בני ברק,קרית ויז\'ניץ,,
דוד המלך,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
אברבנאל,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
דוד פנקס,בני ברק,"הפועל המזרחי א', שיכון א'",בני ברק - גבעת שמואל,"הפועל המזרחי א', שיכון א'"
בארי,בני ברק,"הפועל המזרחי ג', שיכון ג'",בני ברק - גבעת שמואל,"הפועל המזרחי ג', שיכון ג'"
יואל,בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
פנחס אפשטיין,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
הרב אריה רבינוביץ',בני ברק,נוה און,רמת גן - גבעתיים,נוה און
הרב קלישר,בני ברק,"הפועל המזרחי ה', שיכון ה'",רמת גן - גבעתיים,"הפועל המזרחי ה', שיכון ה'"
רבן יוחנן בן זכאי,בני ברק,קרית הישיבה,בני ברק - גבעת שמואל,קרית הישיבה
רבי לוי יצחק מברדיצ'ב,בני ברק,"הפועל המזרחי ה', שיכון ה'",בני ברק - גבעת שמואל,"הפועל המזרחי ה', שיכון ה'"
אביעד,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
אבן גבירול,בני ברק,גבעת רוקח,,
דוד מחלוף,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
הושע,בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
רבי שלמה יוסף גניחובסקי,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
בן פתחיה,בני ברק,גבעת רוקח,בני ברק - גבעת שמואל,גבעת רוקח
יהודית,בני ברק,"הפועל המזרחי ג', שיכון ג'",,
דרך בן גוריון,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
קיבוץ גלויות,בני ברק,קרית ויז'ניץ,בני ברק - גבעת שמואל,קרית ויז'ניץ
רבי עקיבא,בני ברק,"הפועל המזרחי ד', שיכון ד'",בני ברק - גבעת שמואל,"הפועל המזרחי ד', שיכון ד'"
הרב דנגור,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
יצחק מאיר הכהן,בני ברק,רמת אהרון,בני ברק - גבעת שמואל,רמת אהרון
אלוף שמחוני,בני ברק,"הפועל המזרחי ג', שיכון ג'",בני ברק - גבעת שמואל,"הפועל המזרחי ג', שיכון ג'"
השניים,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
חפץ חיים,בני ברק,"הפועל המזרחי ד', שיכון ד'",בני ברק - גבעת שמואל,"הפועל המזרחי ד', שיכון ד'"
שדרת רמז,בני ברק,שיכון ההסתדרות,בני ברק - גבעת שמואל,שיכון ההסתדרות
שמואל וינברג,בני ברק,"הפועל המזרחי ב', שיכון ב'",בני ברק - גבעת שמואל,"הפועל המזרחי ב', שיכון ב'"
הרב ישראל אבו חצירא,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
יגאל אלון,בני ברק,נחלת שמעון,בני ברק - גבעת שמואל,נחלת שמעון
"רד""ק",בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
אבני נזר,בני ברק,רמת אלחנן,בני ברק - גבעת שמואל,רמת אלחנן
הר סיני,בני ברק,קרית ויז'ניץ,בני ברק - גבעת שמואל,קרית ויז'ניץ
בנימין מינץ,בני ברק,גבעת רוקח,בני ברק - גבעת שמואל,גבעת רוקח
שלוש השעות,בני ברק,נחלת שמעון,בני ברק - גבעת שמואל,נחלת שמעון
נתן הנביא,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
הרב נורוק,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
משה בגנו,בני ברק,"הפועל המזרחי ב', שיכון ב'",בני ברק - גבעת שמואל,"הפועל המזרחי ב', שיכון ב'"
מרים הנביאה,בני ברק,"הפועל המזרחי ג', שיכון ג'",,
חברון,בני ברק,הר שלום,,
הרב הרצוג,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
התנאים,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
הרב טולדנו,בני ברק,רמת אהרון,בני ברק - גבעת שמואל,רמת אהרון
בר כוכבא,בני ברק,אזור תעשיה צפון,בני ברק - גבעת שמואל,אזור תעשיה צפון
יחזקאל,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
יהודה נחשוני,בני ברק,נוה אחיעזר א',בני ברק - גבעת שמואל,נוה אחיעזר א'
אוסישקין,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
הרב צירלסון,בני ברק,"הפועל המזרחי ה', שיכון ה'",בני ברק - גבעת שמואל,"הפועל המזרחי ה', שיכון ה'"
הרב אברהם יצחק הכהן קוק,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
"הרב ש""ך",בני ברק,מרכז העיר,,
נחמיה,בני ברק,קרית נדבורנא,בני ברק - גבעת שמואל,קרית נדבורנא
עלי הכהן,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
אורליאן,בני ברק,נוה אחיעזר א',בני ברק - גבעת שמואל,נוה אחיעזר א'
הרב מיימון,בני ברק,גבעת סוקולוב,בני ברק - גבעת שמואל,גבעת סוקולוב
מירון,בני ברק,הר שלום,בני ברק - גבעת שמואל,הר שלום
"אדמו""רי אלכסנדר",בני ברק,גבעת רוקח,בני ברק - גבעת שמואל,גבעת רוקח
חנה סנש,בני ברק,שיכון ההסתדרות,,
צבי הרלינג,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
הרב יעקב לנדא,בני ברק,"הפועל המזרחי ג', שיכון ג'",בני ברק - גבעת שמואל,"הפועל המזרחי ג', שיכון ג'"
"ד""ר ברויאר",בני ברק,"הפועל המזרחי ה', שיכון ה'",בני ברק - גבעת שמואל,"הפועל המזרחי ה', שיכון ה'"
חיים לנדאו,בני ברק,יסודות,בני ברק - גבעת שמואל,יסודות
אחיה השילוני,בני ברק,הר שלום,,
יהודה הלוי,בני ברק,גבעת סוקולוב,בני ברק - גבעת שמואל,גבעת סוקולוב
"חיד""א",בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
הרב נויפלד,בני ברק,קרית הרצוג,בני ברק - גבעת שמואל,קרית הרצוג
הרב וורנר,בני ברק,מרכז העיר,בני ברק - גבעת שמואל,מרכז העיר
בנימין אברהם,בני ברק,פרדס כץ,בני ברק - גבעת שמואל,פרדס כץ
כנסת מרדכי,ביתר עילית,התמר,גוש עציון,התמר
בעל שם טוב,ביתר עילית,האתרוג,גוש עציון,האתרוג
"הרב ש""ך",ביתר עילית,התמר,גוש עציון,התמר
ישמח ישראל,ביתר עילית,התמר,ירושלים,התמר
הרב יעקב מוצפי,ביתר עילית,התמר,גוש עציון,התמר
קדושת לוי,ביתר עילית,הגפן,גוש עציון,הגפן
אוהב ישראל,ביתר עילית,התמר,גוש עציון,התמר
הרב יצחק אריאלי,ביתר עילית,האתרוג,גוש עציון,האתרוג
המגיד ממעזריטש,ביתר עילית,הגפן,גוש עציון,הגפן
"מפעל הש""ס",ביתר עילית,הדקל,,
הרב קנייבסקי,ביתר עילית,הדקל,ירושלים,הדקל
רבי אלעזר המודעי,ביתר עילית,האתרוג,גוש עציון,האתרוג
איגרות משה,ביתר עילית,הדס,גוש עציון,הדס
הרבי מלובביץ',ביתר עילית,הדקל,גוש עציון,הדקל
"הגר""א",ביתר עילית,האתרוג,גוש עציון,האתרוג
הרב אוירבאך,ביתר עילית,הדקל,,
"חזון אי""ש",ביתר עילית,האתרוג,ירושלים,האתרוג
בן איש חי,בית שמש,קנה הבושם,בית שמש והסביבה,קנה הבושם
ראובן,בית שמש,קרית אריה שיינפלד,בית שמש והסביבה,קרית אריה שיינפלד
גד,בית שמש,קרית אריה שיינפלד,בית שמש והסביבה,קרית אריה שיינפלד
דם המכבים,בית שמש,"מרכז העיר, ותיקה",,
הלל,בית שמש,רמת בית שמש ב',בית שמש והסביבה,רמת בית שמש ב'
הרב אליישיב,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
נחל לכיש,בית שמש,רמת בית שמש א',,
"רש""י",בית שמש,קרית אריה שיינפלד,בית שמש והסביבה,קרית אריה שיינפלד
סיני,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
דבורה הנביאה,בית שמש,שאר העיר,בית שמש והסביבה,שאר העיר
"ויצ""ו",בית שמש,"מרכז העיר, ותיקה",,
"רמב""ם",בית שמש,"מרכז העיר, ותיקה",,
מיטל,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
מעפילי אגוז,בית שמש,קרית אריה שיינפלד,,
38,בית שמש,שאר העיר,בית שמש והסביבה,שאר העיר
תדהר,בית שמש,גבעת סביון,בית שמש והסביבה,גבעת סביון
חברון,בית שמש,"שז""ר",בית שמש והסביבה,"שז""ר"
דרך יצחק רבין,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
עמק הזיתים,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
רבי יוחנן בן זכאי,בית שמש,רמת בית שמש ב',בית שמש והסביבה,רמת בית שמש ב'
נחל איילון,בית שמש,רמת בית שמש א',,
נריה הנביא,בית שמש,רמת בית שמש ג',,
המשלט,בית שמש,"מרכז העיר, ותיקה",,
נחל ניצנים,בית שמש,"שז""ר",,
אריה לוין,בית שמש,נוה ספיר,בית שמש והסביבה,נוה ספיר
נחל דולב,בית שמש,רמת בית שמש א',,
הגולן,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
אמרי אמת,בית שמש,מרכז ההתיישבות,בית שמש והסביבה,מרכז ההתיישבות
הארזים,בית שמש,גבעת סביון,,
נחל רביבים,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
הותיקים,בית שמש,"מרכז העיר, ותיקה",,
נחל נחשון,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
יהודה הלוי,בית שמש,"מרכז העיר, ותיקה",,
יחזקאל הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
נחל קטלב,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
המעפילים,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
ירמיהו הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
בן אליעזר,בית שמש,קרית בן אליעזר,,
רבי יוסי בן קיסמא,בית שמש,מרכז ההתיישבות,בית שמש והסביבה,מרכז ההתיישבות
ארלוזורוב,בית שמש,"מרכז העיר, ותיקה",,
ז'בוטינסקי,בית שמש,"מרכז העיר, ותיקה",,
הר גבנונים,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
הארבל,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
האורן,בית שמש,גבעת סביון,,
הרקפת,בית שמש,גבעת סביון,,
דוד רזיאל,בית שמש,נוה ספיר,,
שדרות נחל צאלים,בית שמש,"שז""ר",בית שמש והסביבה,"שז""ר"
סמטת הגפן,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
ביאליק,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
הר בשן,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
יואל הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
בן גרא,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
אהבת שלום,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
השבעה,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
דן לנר,בית שמש,נוה ספיר,,
שדרות נהר הירקון,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
הרצל,בית שמש,"מרכז העיר, ותיקה",,
פולה בן גוריון,בית שמש,נוה ספיר,,
בעל התניא,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
"ריב""ל",בית שמש,רמת בית שמש ב',בית שמש והסביבה,רמת בית שמש ב'
שביל החרובים,בית שמש,גבעת סביון,,
מרים הנביאה,בית שמש,שאר העיר,בית שמש והסביבה,שאר העיר
האיריס,בית שמש,גבעת שרת,,
העלייה,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
הרב אברהם שפירא,בית שמש,שאר העיר,,
רבי יהודה צדקה,בית שמש,קנה הבושם,בית שמש והסביבה,קנה הבושם
המכתש,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
רבי שלמה לורנץ,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
הושע הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
נחל הבשור,בית שמש,רמת בית שמש א',,
רבי ינאי,בית שמש,רמת נריה,בית שמש והסביבה,רמת נריה
החפץ חיים,בית שמש,קנה הבושם,בית שמש והסביבה,קנה הבושם
התבור,בית שמש,"פסגת השבע, מגדל המים",,
הנשיא,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
הגפן,בית שמש,"מרכז העיר, ותיקה",,
חבקוק הנביא,בית שמש,רמת בית שמש ג',,
אורטל,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
יגאל ידין,בית שמש,נוה ספיר,,
שדרות נחל הקישון,בית שמש,"שז""ר",בית שמש והסביבה,"שז""ר"
משה רבנו,בית שמש,רמת בית שמש ג',,
עידו הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
הצאלה,בית שמש,גבעת סביון,בית שמש והסביבה,גבעת סביון
עליית הנוער,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
נחום הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
הנביא עובדיה,בית שמש,שאר העיר,,
נחל גילה,בית שמש,רמת בית שמש א',,
נחל שורק,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
הגליל,בית שמש,"פסגת השבע, מגדל המים",,
הדובדבן,בית שמש,גבעת סביון,,
גור אריה,בית שמש,"מרכז העיר, ותיקה",,
שביל האשל,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
מצדה,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
רויטל,בית שמש,"פסגת השבע, מגדל המים",בית שמש והסביבה,"פסגת השבע, מגדל המים"
החרמון,בית שמש,"פסגת השבע, מגדל המים",,
בר אילן,בית שמש,נוה ספיר,בית שמש והסביבה,נוה ספיר
קלמן מגן,בית שמש,נוה ספיר,,
שפת אמת,בית שמש,מרכז ההתיישבות,בית שמש והסביבה,מרכז ההתיישבות
יונה בן אמיתי,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
שדרות יגאל אלון,בית שמש,קנה הבושם,בית שמש והסביבה,קנה הבושם
הנרקיס,בית שמש,גבעת שרת,בית שמש והסביבה,גבעת שרת
3856,בית שמש,שאר העיר,,
חיים לסקוב,בית שמש,נוה ספיר,בית שמש והסביבה,נוה ספיר
נחל מיכה,בית שמש,רמת בית שמש א',בית שמש והסביבה,רמת בית שמש א'
שדרות הדקל,בית שמש,גבעת סביון,בית שמש והסביבה,גבעת סביון
קרן היסוד,בית שמש,"מרכז העיר, ותיקה",בית שמש והסביבה,"מרכז העיר, ותיקה"
נחל עין גדי,בית שמש,"שז""ר",בית שמש והסביבה,"שז""ר"
הנורית,בית שמש,גבעת שרת,,
התאנה,בית שמש,גבעת סביון,בית שמש והסביבה,גבעת סביון
אחיה השילוני,בית שמש,רמת בית שמש ג',,
חגי הנביא,בית שמש,רמת בית שמש ג',בית שמש והסביבה,רמת בית שמש ג'
שדרות נהר הירדן,בית שמש,רמת בית שמש ב',בית שמש והסביבה,רמת בית שמש ב'
הרצל,בית שאן,מרכז העיר,עמק בית שאן,מרכז העיר
בן צבי,בית שאן,נוף הגלעד,עמק בית שאן,נוף הגלעד
השיקמה,בית שאן,נוף הגלעד,עמק בית שאן,נוף הגלעד
שדרות מנחם בגין,בית שאן,נוף הירדן,עמק בית שאן,נוף הירדן
דבורה הנביאה,בית שאן,נוה נחל,,
עלייה,בית שאן,נוף קדומים,עמק בית שאן,נוף קדומים
"חטיבת הנח""ל",בית שאן,קרית רבין,עמק בית שאן,קרית רבין
דולב,בית שאן,נוף הגלעד,עמק בית שאן,נוף הגלעד
הצנחנים,בית שאן,נוה נחל,עמק בית שאן,נוה נחל
הבונים,בית שאן,נוה נחל,עמק בית שאן,נוה נחל
שדרות הארבעה,בית שאן,מרכז העיר,עמק בית שאן,מרכז העיר
"הל""ה",בית שאן,קרית רבין,עמק בית שאן,קרית רבין
הרב יעקב משה טולדאנו,בית שאן,נוה נחל,עמק בית שאן,נוה נחל
הרב יצחק הרצוג,בית שאן,נוף הירדן,עמק בית שאן,נוף הירדן
לוי אשכול,בית שאן,קרית רבין,עמק בית שאן,קרית רבין
אלעזר בן לולו,בית שאן,נוף גנים,עמק בית שאן,נוף גנים
הלורד בלפור,בית שאן,נוף הירדן,עמק בית שאן,נוף הירדן
אחד העם,בית שאן,שאר העיר,,
הנעמן,בית שאן,שאר העיר,עמק בית שאן,שאר העיר
חומה ומגדל,בית שאן,נוה נחל,,
אמנון ותמר,בית שאן,נוף הגלבוע,עמק בית שאן,נוף הגלבוע
חיים וייצמן,בית שאן,נוף הגלעד,עמק בית שאן,נוף הגלעד
יעקוב מרכוס,בית שאן,נוף קדומים,עמק בית שאן,נוף קדומים
אביר יעקב,בית שאן,נוף הירדן,עמק בית שאן,נוף הירדן
הגלבוע,בית שאן,נוף גנים,,
התומר,בית שאן,נוף גנים,עמק בית שאן,נוף גנים
יגאל ידין,בית שאן,נוף הגלבוע,עמק בית שאן,נוף הגלבוע
ביאליק,בית שאן,נוף קדומים,עמק בית שאן,נוף קדומים
מקס נורדאו,בית שאן,נוף קדומים,עמק בית שאן,נוף קדומים
כנרת,בית שאן,נוף הירדן,,
יהושע אביטן,בית שאן,מרכז העיר,עמק בית שאן,מרכז העיר
חטיבת גולני,בית שאן,שאר העיר,עמק בית שאן,שאר העיר
צפצפה,בית שאן,נוף הגלעד,עמק בית שאן,נוף הגלעד
שדרות יצחק רבין,בית שאן,קרית רבין,עמק בית שאן,קרית רבין
האסיף,בית שאן,נוף הירדן,עמק בית שאן,נוף הירדן
יהודה הלוי,בית שאן,נוף שאן,עמק בית שאן,נוף שאן
יוסף ברנר,בית שאן,שאר העיר,עמק בית שאן,שאר העיר
יעקב מכלוף,בית שאן,נוף שאן,,
הנגב,בית שאן,שאר העיר,הכנרת והסביבה,שאר העיר
משה שרת,בית שאן,קרית רבין,עמק בית שאן,קרית רבין
שאול המלך,בית שאן,נוף קדומים,עמק בית שאן,נוף קדומים
חטיבת גבעתי,בית שאן,קרית רבין,עמק בית שאן,קרית רבין
עדולם,בית שאן,נוף גנים,עמק בית שאן,נוף גנים
העמק,בית שאן,נוה נחל,עמק בית שאן,נוה נחל
ירושלים הבירה,בית שאן,מרכז העיר,עמק בית שאן,מרכז העיר
הגולן,בית שאן,נוף גנים,עמק בית שאן,נוף גנים
רפאל איתן,בית שאן,קרית רבין,עמק בית שאן,קרית רבין
דוד רמז,בית שאן,מרכז העיר,עמק בית שאן,מרכז העיר
"הרמב""ם",בית שאן,נוף שאן,עמק בית שאן,נוף שאן
מיזוג גלויות,בית שאן,נוה נחל,עמק בית שאן,נוה נחל
המלכים,באר שבע,נוה מנחם,,
אביתר,באר שבע,נוה מנחם,באר שבע והסביבה,נוה מנחם
"ד""ר שלמה צבי רן",באר שבע,רמות,באר שבע והסביבה,רמות
אוסישקין,באר שבע,שכונה א',באר שבע והסביבה,שכונה א'
דוד וולפסון,באר שבע,מרכז אזרחי,,
מרדכי מקלף,באר שבע,שכונה ו',,
הר רמון,באר שבע,רמות,באר שבע והסביבה,רמות
בורוכוב,באר שבע,שכונה א',,
טבנקין,באר שבע,שכונה ה',,
משעול סוסיא,באר שבע,"שכונה ט' ונאות לון, אשכול",באר שבע והסביבה,"שכונה ט' ונאות לון, אשכול"
יצחק מודעי,באר שבע,רמות,,
משעול מוצא,באר שבע,"שכונה ט' ונאות לון, אשכול",באר שבע והסביבה,"שכונה ט' ונאות לון, אשכול"
אורות ישראל,באר שבע,"נוה זאב, נאות אילן",באר שבע והסביבה,"נוה זאב, נאות אילן"
"נלי זק""ש",באר שבע,רמות,,
דותן,באר שבע,נוה מנחם,באר שבע והסביבה,נוה מנחם
אבשלום,באר שבע,נוה מנחם,,
שרעבי,באר שבע,שכונה ג',באר שבע והסביבה,שכונה ג'
חיים גרינפלד,באר שבע,רמות,,
ישראל ישעיהו,באר שבע,"שכונה י""א, רמות ספיר",,
מקור חיים,באר שבע,"נוה זאב, נאות אילן",באר שבע והסביבה,"נוה זאב, נאות אילן"
כיכר הקניזי,באר שבע,שכונה ד',,
זלמן שניאור,באר שבע,שכונה ב',באר שבע והסביבה,שכונה ב'
הנוטר,באר שבע,שכונה ג',באר שבע והסביבה,שכונה ג'
סמטת הבשור,באר שבע,שכונה ד',באר שבע והסביבה,שכונה ד'
ישראל גלילי,באר שבע,רמות,,
משעול דן,באר שבע,"העיר העתיקה, רמב""ם, דרום",,
גדעון האוזנר,באר שבע,רמות,באר שבע והסביבה,רמות
"רחבת הרא""ש",באר שבע,"שכונה י""א, רמות ספיר",,
משה קהירי,באר שבע,רמות,,
ליאו פיקרד,באר שבע,רמות,,
שרגא אברמסון,באר שבע,רמות,באר שבע והסביבה,רמות
עוזי נרקיס,באר שבע,רמות,,
שלמה גורן,באר שבע,"שכונה ט' ונאות לון, אשכול",,
יעקב אורלנד,באר שבע,"שכונה ט' ונאות לון, אשכול",,
ברבור,באר שבע,"נוה זאב, נאות אילן",,
חסידה,באר שבע,"נוה זאב, נאות אילן",באר שבע והסביבה,"נוה זאב, נאות אילן"
הוברמן,באר שבע,שכונה ב',באר שבע והסביבה,שכונה ב'
משה שרת,באר שבע,"שכונה י""א, רמות ספיר",,
משה חיים אלישר,באר שבע,רמות,,
בכור שטרית,באר שבע,"שכונה י""א, רמות ספיר",,
לילך,באר שבע,נוה נוי,באר שבע והסביבה,נוה נוי
קרייתי,באר שבע,שכונה ג',,
חנה סנש,באר שבע,שכונה ג',,
משה פריבס,באר שבע,רמות,באר שבע והסביבה,רמות
קרן היסוד,באר שבע,מרכז אזרחי,,
בית שאן,באר שבע,"שכונה ט' ונאות לון, אשכול",באר שבע והסביבה,"שכונה ט' ונאות לון, אשכול"
יוסף זריצקי,באר שבע,נוה מנחם,,
מוטה גור,באר שבע,שאר העיר,באר שבע והסביבה,שאר העיר
טיילת רמות,באר שבע,רמות,באר שבע והסביבה,רמות
יוחנן לינדנר,באר שבע,רמות,,
אלכסנדר ינאי,באר שבע,שכונה ד',,
התיבונים,באר שבע,"שכונה ט' ונאות לון, אשכול",באר שבע והסביבה,"שכונה ט' ונאות לון, אשכול"
צבעוני,באר שבע,נוה נוי,באר שבע והסביבה,נוה נוי
חוחית,באר שבע,"נוה זאב, נאות אילן",,
סמטת קדש,באר שבע,שכונה ד',באר שבע והסביבה,שכונה ד'
אלחריזי,באר שבע,"שכונה ט' ונאות לון, אשכול",באר שבע והסביבה,"שכונה ט' ונאות לון, אשכול"
מינץ,באר שבע,שכונה ב',,
אסירי ציון,באר שבע,שכונה ג',,
גורדון,באר שבע,שכונה א',באר שבע והסביבה,שכונה א'
גינצבורג,באר שבע,רמות,באר שבע והסביבה,רמות
ארנסט חן,באר שבע,רמות,,
מיכאלסון,באר שבע,רמות,באר שבע והסביבה,רמות
המכתשים,באר שבע,שכונה ד',באר שבע והסביבה,שכונה ד'
גלעד,באר שבע,שכונה ד',,
רחבת שמגר השופט,באר שבע,שכונה ו',באר שבע והסביבה,שכונה ו'
שכם,באר שבע,"שכונה ט' ונאות לון, אשכול",,
הרב סרנא,באר שבע,שכונה ו',,
חוגלה,באר שבע,שכונה ה',באר שבע והסביבה,שכונה ה'
קפריסין,באר שבע,שכונה ה',באר שבע והסביבה,שכונה ה'
ארתור רופין,באר שבע,"שכונה י""א, רמות ספיר",באר שבע והסביבה,"שכונה י""א, רמות ספיר"
שמעון פינקל,באר שבע,נוה מנחם,,
אביבית,באר שבע,נוה נוי,,
משעול מבצע יונתן,באר שבע,שכונה ו',באר שבע והסביבה,שכונה ו'
משעול יששכר,באר שבע,"העיר העתיקה, רמב""ם, דרום",,
עכו,באר שבע,"שכונה ט' ונאות לון, אשכול",,
דה שליט,באר שבע,רמות,,
נורית,באר שבע,נוה נוי,,
התקווה,באר שבע,מרכז אזרחי,,
הרב טנא,באר שבע,"העיר העתיקה, רמב""ם, דרום",באר שבע והסביבה,"העיר העתיקה, רמב""ם, דרום"
לייב יפה,באר שבע,מרכז אזרחי,באר שבע והסביבה,מרכז אזרחי
נשר,באר שבע,"נוה זאב, נאות אילן",,
הנדיב,באר שבע,שכונה ג',,
יעקב וייס,באר שבע,רמות,באר שבע והסביבה,רמות
בז,באר שבע,"נוה זאב, נאות אילן",,
אליהו בן חור,באר שבע,שכונה ו',באר שבע והסביבה,שכונה ו'
הרצל,באר שבע,"העיר העתיקה, רמב""ם, דרום",,
איינשטיין,באר שבע,שכונה ב',באר שבע והסביבה,שכונה ב'
משה סתיו,באר שבע,"נוה זאב, נאות אילן",,
יוחנן הורקנוס,באר שבע,שכונה ד',,
אשר ברש,באר שבע,"העיר העתיקה, רמב""ם, דרום",,
